2024-06-18 16:38:28 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-06-18 16:38:30 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2024-06-18 16:38:30 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-06-18 16:38:31 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-18 16:38:32 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3ded3594, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@24117ae3, org.springframework.security.web.context.SecurityContextHolderFilter@398043d1, org.springframework.security.web.header.HeaderWriterFilter@49564354, org.springframework.web.filter.CorsFilter@1a1b626f, org.springframework.security.web.authentication.logout.LogoutFilter@7a6e7969, com.event.booking.config.JwtAuthenticationFilter@304bebaa, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5360241b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@589f3e84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ff5c6e, org.springframework.security.web.session.SessionManagementFilter@30b09585, org.springframework.security.web.access.ExceptionTranslationFilter@4710ac6c, org.springframework.security.web.access.intercept.AuthorizationFilter@6d4e9567]
2024-06-18 16:38:33 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-18 16:38:33 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2024-06-18 16:38:33 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/'
2024-06-18 16:38:51 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-18 16:38:51 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-18 16:38:51 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
